"Category","Item","Retailer","Shelf_Price","Price_per_unit","Unit","Date"
"Tomatoes","Morrisons Vine Ripened Tomatoes ","Morrisons",1.37,0.274,"Each",2019-01-14
"Tomatoes","Morrisons Salad Tomatoes ","Morrisons",1.25,1.67,"Kg",2019-01-14
"Tomatoes","Morrisons Baby Plum Tomatoes ","Morrisons",1,4,"Kg",2019-01-14
"Tomatoes","Morrisons The Best Classic Mix Tomatoes ","Morrisons",1.5,6,"Kg",2019-01-14
"Tomatoes","Morrisons Vine Ripened Tomatoes ","Morrisons",1.15,0.164,"Each",2019-01-14
"Tomatoes","Morrisons Organic Salad Tomatoes ","Morrisons",1,0.25,"Each",2019-01-14
"Tomatoes","Morrisons Hand Selected Beef Tomatoes ","Morrisons",1.6,0.8,"Each",2019-01-14
"Tomatoes","Morrisons The Best Large Vine Tomatoes ","Morrisons",1.5,3.57,"Kg",2019-01-14
"Tomatoes","Morrisons Vine Ripened Cherry Tomatoes ","Morrisons",1.25,5.56,"Kg",2019-01-14
"Tomatoes","Morrisons The Best Piccolo Tomatoes on the Vine ","Morrisons",1.5,6.82,"Kg",2019-01-14
"Tomatoes","Morrisons Organic Baby Tomato Mix ","Morrisons",1.25,5,"Kg",2019-01-14
"Tomatoes","Morrisons Organic Cherry Vine Tomatoes ","Morrisons",1.6,8,"Kg",2019-01-14
"Tomatoes","Morrisons Organic Vine Cocktail Tomatoes ","Morrisons",1.8,4.5,"Kg",2019-01-14
"Tomatoes","The Tomato Stall Isle of Wight Winter Cherry on the Vine Tomatoes ","Ocado",2.49,9.96,"Kg",2019-01-14
"Tomatoes","Ocado Tomatoes ","Ocado",0.69,0.115,"Each",2019-01-14
"Tomatoes","Waitrose Vine Tomatoes ","Ocado",1.8,6.67,"Kg",2019-01-14
"Tomatoes","Essential Waitrose Cherry Tomatoes ","Ocado",1.45,2.9,"Kg",2019-01-14
"Tomatoes","Essential Waitrose Cherry Tomatoes ","Ocado",0.75,3,"Kg",2019-01-14
"Tomatoes","Essential Waitrose Plum Tomatoes ","Ocado",1.3,2.6,"Kg",2019-01-14
"Tomatoes","Waitrose Classic Vine Tomatoes ","Ocado",2,4.44,"Kg",2019-01-14
"Tomatoes","Ocado Baby Plum Tomatoes ","Ocado",1.08,3.09,"Kg",2019-01-14
"Tomatoes","Waitrose Limited Selection Small Tomatoes ","Ocado",3.5,3.5,"Kg",2019-01-14
"Tomatoes","Waitrose Cherry Vine Tomatoes ","Ocado",2.2,8.15,"Kg",2019-01-14
"Tomatoes","Ocado Large Vine Tomatoes ","Ocado",1.25,0.313,"Each",2019-01-14
"Tomatoes","Waitrose Baby Plum Tomatoes ","Ocado",3,6,"Kg",2019-01-14
"Tomatoes","Waitrose Cherry Vine Tomatoes ","Ocado",3,7.5,"Kg",2019-01-14
"Tomatoes","Waitrose Baby Plum Tomatoes ","Ocado",2.1,7.64,"Kg",2019-01-14
"Tomatoes","Essential Waitrose Slicing Tomatoes ","Ocado",1.8,0.9,"Each",2019-01-14
"Tomatoes","Waitrose Duchy Organic Cherry Tomatoes ","Ocado",1.49,5.96,"Kg",2019-01-14
"Tomatoes","Waitrose 1 Red Choice Tomatoes ","Ocado",2.6,8.67,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Datterini Tomatoes ","Ocado",2.49,12.45,"Kg",2019-01-14
"Tomatoes","Waitrose 1 San Marzano Tomatoes ","Ocado",1.9,4.75,"Kg",2019-01-14
"Tomatoes","Ocado Gold Mixed Baby Plum Tomatoes ","Ocado",1.5,6,"Kg",2019-01-14
"Tomatoes","Waitrose Duchy Organic Large Vine Tomatoes ","Ocado",2.7,6.35,"Kg",2019-01-14
"Tomatoes","Waitrose 1 Golden Baby Plum Tomatoes ","Ocado",2,8.89,"Kg",2019-01-14
"Tomatoes","Waitrose Duchy Organic Vine Tomatoes ","Ocado",2.3,9.2,"Kg",2019-01-14
"Tomatoes","Waitrose Duchy Organic Baby Plum Tomatoes ","Ocado",2.1,9.33,"Kg",2019-01-14
"Tomatoes","Waitrose Duchy Organic Vine Cherry Tomatoes ","Ocado",2.5,12.5,"Kg",2019-01-14
"Tomatoes","Waitrose Duchy Organic English Capri Tomatoes ","Ocado",2.4,10.67,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Cherry Vine Tomatoes ","Ocado",3.59,10.26,"Kg",2019-01-14
"Tomatoes","Wholegood Organic Vine Tomatoes ","Ocado",2.9,6.44,"Kg",2019-01-14
"Tomatoes","Natoora Mixed Heritage Tomato ","Ocado",2.99,14.95,"Kg",2019-01-14
"Tomatoes","Waitrose Pome dei Moro Tomatoes ","Ocado",2,8.89,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Datterini Vine Tomatoes ","Ocado",3.99,11.4,"Kg",2019-01-14
"Tomatoes","Natoora Seasonal Tomato Selection ","Ocado",5.99,9.98,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Tomato Duo ","Ocado",3.99,11.4,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Cherry Vine Tomatoes ","Ocado",2.39,10.86,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Tiger Plum Tomatoes ","Ocado",2.89,14.45,"Kg",2019-01-14
"Tomatoes","Wholegood Organic Mixed Cherry Tomatoes ","Ocado",3.1,15.5,"Kg",2019-01-14
"Tomatoes","Natoora Sicilian Yellow Datterini Vine Tomatoes ","Ocado",2.49,12.45,"Kg",2019-01-14
"Tomatoes","Wholegood Organic Cherry Tomatoes on the Vine ","Ocado",3,13.33,"Kg",2019-01-14
"Tomatoes","Sainsbury's Cherry Tomatoes ","Sainsburys",0.85,2.54,"Kg",2019-01-14
"Tomatoes","Sainsbury's Classic Round Tomatoes ","Sainsburys",0.75,0.125,"Each",2019-01-14
"Tomatoes","Sainsbury's Cherry Tomatoes ","Sainsburys",1.55,2.38,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Jubilee Large Vine Tomatoes ","Sainsburys",1.65,3.75,"Kg",2019-01-14
"Tomatoes","Sainsbury's Tomatoes ","Sainsburys",1,1.67,"Kg",2019-01-14
"Tomatoes","Sainsbury's Large Beef Tomatoes","Sainsburys",0.85,0.85,"Each",2019-01-14
"Tomatoes","Sainsbury's Plum Tomatoes ","Sainsburys",1.2,2,"Kg",2019-01-14
"Tomatoes","Sainsbury's Tomatoes Loose ","Sainsburys",0.18,2,"Kg",2019-01-14
"Tomatoes","Sainsbury's Baby Plum Tomatoes ","Sainsburys",0.95,3.8,"Kg",2019-01-14
"Tomatoes","Sainsbury's Organic Large Vine Tomatoes ","Sainsburys",1.85,4.63,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Pomodorino Tomatoes ","Sainsburys",1.65,6.6,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Vittoria Tomatoes ","Sainsburys",1.85,6.85,"Kg",2019-01-14
"Tomatoes","Sainsbury's Organic Cherry Tomatoes on the Vine ","Sainsburys",1.85,10.28,"Kg",2019-01-14
"Tomatoes","Sainsbury's Organic Baby Plum Tomatoes ","Sainsburys",1.85,8.22,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Sundream Tomatoes ","Sainsburys",1.65,7.33,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Best of British Cherry Tomatoes ","Sainsburys",1.7,6.3,"Kg",2019-01-14
"Tomatoes","Sainsbury's Taste the Difference Isle of Wight Medium Vine Tomatoes ","Sainsburys",1.65,5.5,"Kg",2019-01-14
"Tomatoes","Tesco Salad Tomatoes ","Tesco",0.69,0.115,"Each",2019-01-14
"Tomatoes","Tesco Beef Tomatoes Loose","Tesco",0.85,0.49,"Each",2019-01-14
"Tomatoes","Tesco Cherry Tomatoes ","Tesco",0.85,2.58,"Kg",2019-01-14
"Tomatoes","Tesco Salad Tomatoes ","Tesco",1,1.54,"Kg",2019-01-14
"Tomatoes","Tesco Baby Plum Tomatoes ","Tesco",1,3.08,"Kg",2019-01-14
"Tomatoes","Tesco Large on the Vine Tomatoes ","Tesco",1.25,2.22,"Kg",2019-01-14
"Tomatoes","Tesco Nightingale Farms Cherry Tomatoes ","Tesco",0.54,2.16,"Kg",2019-01-14
"Tomatoes","Tesco Nightingale Farms Baby Plum Tomatoes ","Tesco",0.68,2.72,"Kg",2019-01-14
"Tomatoes","Tesco Nightingale Farm Vine Tomatoes","Tesco",0.81,0.81,"Each",2019-01-14
"Tomatoes","Tesco Sweet Vine Ripened Tomatoes ","Tesco",1,4.35,"Kg",2019-01-14
"Tomatoes","Tesco Finest Piccolo Cherry Tomatoes ","Tesco",1.5,6.82,"Kg",2019-01-14
"Tomatoes","Tesco Organic Tomatoes on the Vine Large ","Tesco",1.7,4.25,"Kg",2019-01-14
"Tomatoes","Tesco Finest Sugardrop Tomatoes on the Vine ","Tesco",1.5,6.82,"Kg",2019-01-14
"Tomatoes","Tesco Organic Cherry On the Vine Tomatoes ","Tesco",1.7,8.5,"Kg",2019-01-14
"Tomatoes","Tesco Finest Sweet Mixed Baby Tomatoes ","Tesco",1.5,6,"Kg",2019-01-14
"Tomatoes","Tesco Finest British Baby Plum Tomatoes ","Tesco",1.5,6,"Kg",2019-01-14
"Tomatoes","Tesco Mini San Marzano Tomatoes ","Tesco",1.25,5.68,"Kg",2019-01-14
"Tomatoes","Tesco Finest Piccolo Cherry Tomatoes ","Tesco",1,7.14,"Kg",2019-01-14
"Tomatoes","Tesco Organic Baby Plum Tomatoes ","Tesco",1.7,8.5,"Kg",2019-01-14
"Lettuce","ASDA Grower's Selection Little Gem Lettuce ","ASDA",0.65,0.325,"Each",2019-01-14
"Lettuce","ASDA Grower's Selection Iceberg Lettuce","ASDA",0.6,0.6,"Each",2019-01-14
"Lettuce","ASDA Farm Stores Round Lettuce","ASDA",0.4,0.4,"Each",2019-01-14
"Lettuce","ASDA Grower's Selection Hearts of Romaine Lettuce ","ASDA",0.95,0.475,"Each",2019-01-14
"Lettuce","ASDA Organic Grower's Selection Lettuce","ASDA",1.17,1.17,"Each",2019-01-14
"Lettuce","ASDA Grower's Selection Chinese Leaf Lettuce","ASDA",0.75,0.75,"Each",2019-01-14
"Lettuce","Iceland Farmer's Market Whole Iceberg Lettuce","Iceland",0.6,0.6,"Each",2019-01-14
"Lettuce","Oaklands Little Gem Lettuce ","Lidl",0.62,0.31,"Each",2019-01-14
"Lettuce","Oaklands Iceberg Lettuce","Lidl",0.58,0.58,"Each",2019-01-14
"Lettuce","Oaklands Romaine Hearts ","Lidl",0.92,0.375,"Each",2019-01-14
"Lettuce","Oaklands Salad Trio","Lidl",1,1,"Each",2019-01-14
"Lettuce","Morrisons Little Gem Lettuce ","Morrisons",0.85,0.425,"Each",2019-01-14
"Lettuce","Morrisons Round Lettuce","Morrisons",0.65,0.65,"Each",2019-01-14
"Lettuce","Morrisons Iceberg Lettuce","Morrisons",0.7,0.7,"Each",2019-01-14
"Lettuce","Morrisons Red Gem Lettuce ","Morrisons",0.85,0.425,"Each",2019-01-14
"Lettuce","Morrisons Organic Little Gem Lettuce ","Morrisons",1.62,0.81,"Each",2019-01-14
