"UID","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"479720 ASDA Farm Stores Blueberries (125g)","479720","ASDA Farm Stores Blueberries (125g)","Blueberries","ASDA Farm Stores Blueberries","ASDA",1.59,NA,8,"125g","Kg",2019-01-17
"479766 ASDA Grower's Selection Organic Blueberries (125g)","479766","ASDA Grower's Selection Organic Blueberries (125g)","Blueberries","ASDA Grower's Selection Organic Blueberries","ASDA",2.39,NA,19.12,"125g","Kg",2019-01-17
"477747 Blueberries (150g)","477747","Blueberries (150g)","Blueberries","Blueberries","Lidl",1.58,NA,10.53,"150g","Kg",2019-01-17
"NA Blueberries (250g)",NA,"Blueberries (250g)","Blueberries","Blueberries","Lidl",1.99,NA,7.96,"250g","Kg",2019-01-17
"538361 Morrisons Blueberries (125g)","538361","Morrisons Blueberries (125g)","Blueberries","Morrisons Blueberries","Morrisons",2,12,16,"125g","Kg",2019-01-17
"NA Morrisons The Best Blueberries (150g)",NA,"Morrisons The Best Blueberries (150g)","Blueberries","Morrisons The Best Blueberries","Morrisons",2.75,NA,18.33,"150g","Kg",2019-01-17
"293508 Morrisons Blueberries (350g)","293508","Morrisons Blueberries (350g)","Blueberries","Morrisons Blueberries","Morrisons",3.25,NA,8.57,"350g","Kg",2019-01-17
"174961 Ocado Blueberries (250g)","174961","Ocado Blueberries (250g)","Blueberries","Ocado Blueberries","Ocado",3,NA,12,"250g","Kg",2019-01-17
"403347 Ocado Blueberries (150g)","403347","Ocado Blueberries (150g)","Blueberries","Ocado Blueberries","Ocado",1.99,NA,13.27,"150g","Kg",2019-01-17
"428758 Waitrose Blueberries (225g)","428758","Waitrose Blueberries (225g)","Blueberries","Waitrose Blueberries","Ocado",3.5,NA,15.56,"225g","Kg",2019-01-17
"484929 Waitrose Blueberries (150g)","484929","Waitrose Blueberries (150g)","Blueberries","Waitrose Blueberries","Ocado",2.5,NA,16.67,"150g","Kg",2019-01-17
"401398 BerryWorld Blueberries (150g)","401398","BerryWorld Blueberries (150g)","Blueberries","BerryWorld Blueberries","Ocado",3,16.67,20,"150g","Kg",2019-01-17
"538915 Waitrose Duchy Organic Blueberries (125g)","538915","Waitrose Duchy Organic Blueberries (125g)","Blueberries","Waitrose Duchy Organic Blueberries","Ocado",2.5,NA,20,"125g","Kg",2019-01-17
"046577 Sainsbury's Blueberries (150g)","046577","Sainsbury's Blueberries (150g)","Blueberries","Sainsbury's Blueberries","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-17
"227356 Sainsbury's Blueberries (400g)","227356","Sainsbury's Blueberries (400g)","Blueberries","Sainsbury's Blueberries","Sainsburys",3.5,NA,8.75,"400g","Kg",2019-01-17
"381118 Sainsbury's Blueberries (100g)","381118","Sainsbury's Blueberries (100g)","Blueberries","Sainsbury's Blueberries","Sainsburys",1.1,NA,11,"100g","Kg",2019-01-17
"530702 Sainsbury's Blueberries (80g)","530702","Sainsbury's Blueberries (80g)","Blueberries","Sainsbury's Blueberries","Sainsburys",1.15,NA,14.38,"80g","Kg",2019-01-17
"534877 Tesco Blueberries (200g)","534877","Tesco Blueberries (200g)","Blueberries","Tesco Blueberries","Tesco",2,NA,10,"200g","Kg",2019-01-17
"428015 Tesco Rosedene Farms Blueberries (125g)","428015","Tesco Rosedene Farms Blueberries (125g)","Blueberries","Tesco Rosedene Farms Blueberries","Tesco",1.32,NA,10.56,"125g","Kg",2019-01-17
"534241 Tesco Organic Blueberries (150g)","534241","Tesco Organic Blueberries (150g)","Blueberries","Tesco Organic Blueberries","Tesco",2.25,NA,15,"150g","Kg",2019-01-17
"203336 ASDA Grower's Selection Cherries (200g)","203336","ASDA Grower's Selection Cherries (200g)","Cherries","ASDA Grower's Selection Cherries","ASDA",2,NA,10,"200g","Kg",2019-01-17
"366365 Iceland Farmer's Makret Cherries (300g)","366365","Iceland Farmer's Makret Cherries (300g)","Cherries","Iceland Farmer's Makret Cherries","Iceland",2,NA,6.67,"300g","Kg",2019-01-17
"507918 Cherries (200g)","507918","Cherries (200g)","Cherries","Cherries","Lidl",1.29,NA,6.45,"200g","Kg",2019-01-17
"534998 Morrisons Cherries (200g)","534998","Morrisons Cherries (200g)","Cherries","Morrisons Cherries","Morrisons",2,7.5,10,"200g","Kg",2019-01-17
"387665 Ocado Cherries (200g)","387665","Ocado Cherries (200g)","Cherries","Ocado Cherries","Ocado",2,NA,10,"200g","Kg",2019-01-17
"484930 Waitrose Cherries (180g)","484930","Waitrose Cherries (180g)","Cherries","Waitrose Cherries","Ocado",3.5,NA,12.94,"180g","Kg",2019-01-17
"242493 Sainsbury's Cherries (200g)","242493","Sainsbury's Cherries (200g)","Cherries","Sainsbury's Cherries","Sainsburys",2,NA,10,"200g","Kg",2019-01-17
"049563 Tesco Cherries (200g)","049563","Tesco Cherries (200g)","Cherries","Tesco Cherries","Tesco",2,NA,10,"200g","Kg",2019-01-17
"268844 Tesco Cherries (400g)","268844","Tesco Cherries (400g)","Cherries","Tesco Cherries","Tesco",4,NA,10,"400g","Kg",2019-01-17
"NA Ashfield Farm British Diced Beef (700g)",NA,"Ashfield Farm British Diced Beef (700g)","Diced_Beef","Ashfield Farm British Diced Beef","Aldi",4.79,NA,6.84,"700g","Kg",2019-01-17
"246732 ASDA Butcher's Selection Diced Beef (700g)","246732","ASDA Butcher's Selection Diced Beef (700g)","Diced_Beef","ASDA Butcher's Selection Diced Beef","ASDA",5.5,NA,7.41,"700g","Kg",2019-01-17
"441448 ASDA Butcher's Selection Diced Beef (475g)","441448","ASDA Butcher's Selection Diced Beef (475g)","Diced_Beef","ASDA Butcher's Selection Diced Beef","ASDA",3.8,7.02,8,"475g","Kg",2019-01-17
"080850 ASDA Butcher's Selection British Diced Beef Casserole (250g)","080850","ASDA Butcher's Selection British Diced Beef Casserole (250g)","Diced_Beef","ASDA Butcher's Selection British Diced Beef Casserole","ASDA",2.49,NA,9.96,"250g","Kg",2019-01-17
"310593 ASDA Butcher's Selection Beef Stir Fry (350g)","310593","ASDA Butcher's Selection Beef Stir Fry (350g)","Diced_Beef","ASDA Butcher's Selection Beef Stir Fry","ASDA",3.6,NA,10.29,"350g","Kg",2019-01-17
"402525 ASDA Organic Butcher's Selection Diced Beef (350g)","402525","ASDA Organic Butcher's Selection Diced Beef (350g)","Diced_Beef","ASDA Organic Butcher's Selection Diced Beef","ASDA",3.75,NA,10.71,"350g","Kg",2019-01-17
"542284 ASDA Extra Special Aberdeen Angus Diced Beef (350g)","542284","ASDA Extra Special Aberdeen Angus Diced Beef (350g)","Diced_Beef","ASDA Extra Special Aberdeen Angus Diced Beef","ASDA",4,NA,11.43,"350g","Kg",2019-01-17
"393546 Iceland Butcher's Market Diced Beef (380g)","393546","Iceland Butcher's Market Diced Beef (380g)","Diced_Beef","Iceland Butcher's Market Diced Beef","Iceland",3,7.02,7.89,"380g","Kg",2019-01-17
"340930 Iceland Butcher's Market Diced Beef (650g)","340930","Iceland Butcher's Market Diced Beef (650g)","Diced_Beef","Iceland Butcher's Market Diced Beef","Iceland",5,NA,7.69,"650g","Kg",2019-01-17
"449889 Morrisons Diced Beef (460g)","449889","Morrisons Diced Beef (460g)","Diced_Beef","Morrisons Diced Beef","Morrisons",4.15,7.25,9.02,"460g","Kg",2019-01-17
"540502 Shazans Halal Diced Beef (600g)","540502","Shazans Halal Diced Beef (600g)","Diced_Beef","Shazans Halal Diced Beef","Morrisons",6,NA,10,"600g","Kg",2019-01-17
"NA Morrisons The Best British Shorthorn Diced Beef (400g)",NA,"Morrisons The Best British Shorthorn Diced Beef (400g)","Diced_Beef","Morrisons The Best British Shorthorn Diced Beef","Morrisons",4,NA,10,"400g","Kg",2019-01-17
"312816 Morrisons Beef Stir Fry (Approx 405g)","312816","Morrisons Beef Stir Fry (Approx 405g)","Diced_Beef","Morrisons Beef Stir Fry","Morrisons",4.46,NA,11.01,"Approx 405g","Kg",2019-01-17
"444948 Ocado Lean Diced Beef (600g)","444948","Ocado Lean Diced Beef (600g)","Diced_Beef","Ocado Lean Diced Beef","Ocado",5,NA,8.33,"600g","Kg",2019-01-17
"284077 Essential Waitrose British Diced Braising Steak (400g)","284077","Essential Waitrose British Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose British Diced Braising Steak","Ocado",4.4,8.33,11,"400g","Kg",2019-01-17
"456086 Ocado Diced Beef - 5% Fat (342g)","456086","Ocado Diced Beef - 5% Fat (342g)","Diced_Beef","Ocado Diced Beef - 5% Fat","Ocado",3.16,NA,9.24,"342g","Kg",2019-01-17
"NA Eden Lean Diced Beef - 5% Fat (400g)",NA,"Eden Lean Diced Beef - 5% Fat (400g)","Diced_Beef","Eden Lean Diced Beef - 5% Fat","Ocado",4,NA,6.65,"400g","Kg",2019-01-17
"NA Eversfield Organic Diced Stewing Beef Grass Fed (400g)",NA,"Eversfield Organic Diced Stewing Beef Grass Fed (400g)","Diced_Beef","Eversfield Organic Diced Stewing Beef Grass Fed","Ocado",5.79,NA,14.48,"400g","Kg",2019-01-17
"291043 Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)","291043","Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose Beef Extra Lean Diced Braising Steak","Ocado",5,NA,9.38,"400g","Kg",2019-01-17
"288762 Ocado Lean Beef Strips (375g)","288762","Ocado Lean Beef Strips (375g)","Diced_Beef","Ocado Lean Beef Strips","Ocado",3.8,NA,10.13,"375g","Kg",2019-01-17
"NA Eden Beef Stir Fry (400g)",NA,"Eden Beef Stir Fry (400g)","Diced_Beef","Eden Beef Stir Fry","Ocado",6,10,15,"400g","Kg",2019-01-17
"370575 Brookfield Farm Organic Beef Stir Fry (300g)","370575","Brookfield Farm Organic Beef Stir Fry (300g)","Diced_Beef","Brookfield Farm Organic Beef Stir Fry","Ocado",4.99,NA,16.63,"300g","Kg",2019-01-17
"446037 Frohwein's Diced Beef Kosher (Approx 500g)","446037","Frohwein's Diced Beef Kosher (Approx 500g)","Diced_Beef","Frohwein's Diced Beef Kosher","Ocado",7.25,NA,14.5,"Approx 500g","Kg",2019-01-17
