"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"285322 Packington Free Range Pork Loin Steaks (340g)",0,0,"285322","Packington Free Range Pork Loin Steaks (340g)","Fresh_Beef","Packington Free Range Pork Loin Steaks ","Ocado",5.69,11.76,16.74,"340g","Kg",2019-01-21
"428842 Essential Waitrose British Beef Topside Roast (Approx 1.3Kg)",0,0,"428842","Essential Waitrose British Beef Topside Roast (Approx 1.3Kg)","Fresh_Beef","Essential Waitrose British Beef Topside Roast ","Ocado",14.4,NA,11.08,"Approx 1.3Kg","Kg",2019-01-21
"333486 Waitrose Duchy Organic British Beef Fillet Steak (Approx 241g)",0,0,"333486","Waitrose Duchy Organic British Beef Fillet Steak (Approx 241g)","Fresh_Beef","Waitrose Duchy Organic British Beef Fillet Steak ","Ocado",11,NA,45.64,"Approx 241g","Kg",2019-01-21
"410451 Ocado Gold Angus Beef Fillet Steak (2 per pack - Approx 382g)",0,0,"410451","Ocado Gold Angus Beef Fillet Steak (2 per pack - Approx 382g)","Fresh_Beef","Ocado Gold Angus Beef Fillet Steak ","Ocado",13.75,NA,35.99,"2 per pack - Approx 382g","Kg",2019-01-21
"449955 Pure Irish Organic Rump Steaks (2 per pack - 450g)",0,0,"449955","Pure Irish Organic Rump Steaks (2 per pack - 450g)","Fresh_Beef","Pure Irish Organic Rump Steaks ","Ocado",10,NA,22.22,"2 per pack - 450g","Kg",2019-01-21
"431055 Waitrose 1 Côte de Boeuf Bone in Rib Eye (Approx 700g)",NA,NA,"431055","Waitrose 1 Côte de Boeuf Bone in Rib Eye (Approx 700g)","Fresh_Beef","Waitrose 1 Côte de Boeuf Bone in Rib Eye ","Ocado",20.99,NA,29.99,"Approx 700g","Kg",2019-01-21
"NA Brookfield Platinum Beef Fillet Steak (199g)",0,0,"NA","Brookfield Platinum Beef Fillet Steak (199g)","Fresh_Beef","Brookfield Platinum Beef Fillet Steak ","Ocado",9.99,NA,37.64,"199g","Kg",2019-01-21
"481160 Essential Waitrose British Beef Topside Roast (Approx 600g)",0,0,"481160","Essential Waitrose British Beef Topside Roast (Approx 600g)","Fresh_Beef","Essential Waitrose British Beef Topside Roast ","Ocado",9.01,NA,15.02,"Approx 600g","Kg",2019-01-21
"410454 Ocado Gold Angus Beef Rump Steak (Approx 500g)",0,0,"410454","Ocado Gold Angus Beef Rump Steak (Approx 500g)","Fresh_Beef","Ocado Gold Angus Beef Rump Steak ","Ocado",9.25,NA,18.5,"Approx 500g","Kg",2019-01-21
"456089 Pure Irish Organic Beef Carvery Joint (1.16Kg)",0,0,"456089","Pure Irish Organic Beef Carvery Joint (1.16Kg)","Fresh_Beef","Pure Irish Organic Beef Carvery Joint ","Ocado",16,NA,13.79,"1.16Kg","Kg",2019-01-21
"NA Daylesford Organic Beef Chuck Steak (500g)",0,0,"NA","Daylesford Organic Beef Chuck Steak (500g)","Fresh_Beef","Daylesford Organic Beef Chuck Steak ","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-21
"368781 Daylesford Organic Beef Shin (500g)",0,0,"368781","Daylesford Organic Beef Shin (500g)","Fresh_Beef","Daylesford Organic Beef Shin ","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-21
"NA Brookfield Platinum Beef Chateaubriand (700g)",0,0,"NA","Brookfield Platinum Beef Chateaubriand (700g)","Fresh_Beef","Brookfield Platinum Beef Chateaubriand ","Ocado",32,NA,45.71,"700g","Kg",2019-01-21
"374326 Daylesford Organic Sirloin Steak (340g)",0,0,"374326","Daylesford Organic Sirloin Steak (340g)","Fresh_Beef","Daylesford Organic Sirloin Steak ","Ocado",11.5,NA,33.82,"340g","Kg",2019-01-21
"457886 Waitrose Aberdeen Angus Beef Brisket (Approx 1.5Kg)",0,0,"457886","Waitrose Aberdeen Angus Beef Brisket (Approx 1.5Kg)","Fresh_Beef","Waitrose Aberdeen Angus Beef Brisket ","Ocado",15.59,NA,10.39,"Approx 1.5Kg","Kg",2019-01-21
"448090 Sainsbury's Beef Rump Steak (225g)",0,0,"448090","Sainsbury's Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Beef Rump Steak ","Sainsburys",2.8,NA,12.44,"225g","Kg",2019-01-21
"526198 Sainsbury's Extra Lean Casserole Beef Steak (400g)",0,0,"526198","Sainsbury's Extra Lean Casserole Beef Steak (400g)","Fresh_Beef","Sainsbury's Extra Lean Casserole Beef Steak ","Sainsburys",4.25,NA,10.63,"400g","Kg",2019-01-21
"497796 Sainsbury's Beef Silverside Steak (175g)",0,0,"497796","Sainsbury's Beef Silverside Steak (175g)","Fresh_Beef","Sainsbury's Beef Silverside Steak ","Sainsburys",2.15,NA,12.29,"175g","Kg",2019-01-21
"368547 Sainsbury's Beef Sirloin Steak (225g)",0,0,"368547","Sainsbury's Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Beef Sirloin Steak ","Sainsburys",4.75,NA,21.11,"225g","Kg",2019-01-21
"497798 Sainsbury's Beef Silverside Steak (2 per pack - 350g)",0,0,"497798","Sainsbury's Beef Silverside Steak (2 per pack - 350g)","Fresh_Beef","Sainsbury's Beef Silverside Steak ","Sainsburys",3.75,NA,10.71,"2 per pack - 350g","Kg",2019-01-21
"525713 Sainsbury's 21 Day Matured Slow Beef Roast (Approx 1.24Kg)",0,0,"525713","Sainsbury's 21 Day Matured Slow Beef Roast (Approx 1.24Kg)","Fresh_Beef","Sainsbury's 21 Day Matured Slow Beef Roast ","Sainsburys",9.92,NA,8,"Approx 1.24Kg","Kg",2019-01-21
"525709 Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint (Approx 1.24Kg)",0,0,"525709","Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint ","Sainsburys",11.16,NA,9,"Approx 1.24Kg","Kg",2019-01-21
"501241 Sainsbury's Beef Brisket (Approx 1.7Kg)",0,0,"501241","Sainsbury's Beef Brisket (Approx 1.7Kg)","Fresh_Beef","Sainsbury's Beef Brisket ","Sainsburys",14.45,NA,8.5,"Approx 1.7Kg","Kg",2019-01-21
"505419 Sainsbury's Fatted Beef Roasting Joint (500g)",0,0,"505419","Sainsbury's Fatted Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Fatted Beef Roasting Joint ","Sainsburys",5.5,NA,11,"500g","Kg",2019-01-21
"499125 Sainsbury's Flat Iron Steak (225g)",0,0,"499125","Sainsbury's Flat Iron Steak (225g)","Fresh_Beef","Sainsbury's Flat Iron Steak ","Sainsburys",3.5,NA,15.56,"225g","Kg",2019-01-21
"029523 Sainsbury's British Exra Lean Beef Escalopes (300g)",0,0,"029523","Sainsbury's British Exra Lean Beef Escalopes (300g)","Fresh_Beef","Sainsbury's British Exra Lean Beef Escalopes ","Sainsburys",4.2,NA,14,"300g","Kg",2019-01-21
"505413 Sainsbury's Organic Beef Roasting Joint (600g)",0,0,"505413","Sainsbury's Organic Beef Roasting Joint (600g)","Fresh_Beef","Sainsbury's Organic Beef Roasting Joint ","Sainsburys",7.5,NA,12.5,"600g","Kg",2019-01-21
"448095 Sainsbury's Organic Beef Sirloin Steak (225g)",0,0,"448095","Sainsbury's Organic Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Organic Beef Sirloin Steak ","Sainsburys",5.75,NA,25.56,"225g","Kg",2019-01-21
"525475 Sainsbury's 21 Day Matured Ribeye Steak (225g)",0,0,"525475","Sainsbury's 21 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's 21 Day Matured Ribeye Steak ","Sainsburys",4.5,NA,20,"225g","Kg",2019-01-21
"497800 Sainsbury's Extra Lean Beef Roasting Joint (500g)",0,0,"497800","Sainsbury's Extra Lean Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Extra Lean Beef Roasting Joint ","Sainsburys",6.5,NA,13,"500g","Kg",2019-01-21
"525472 Sainsbury's 21 Day Matured Beef Medallion Steak (340g)",0,0,"525472","Sainsbury's 21 Day Matured Beef Medallion Steak (340g)","Fresh_Beef","Sainsbury's 21 Day Matured Beef Medallion Steak ","Sainsburys",5.25,NA,15.44,"340g","Kg",2019-01-21
"442095 Sainsbury's Taste the Difference Beef Rump Steak (225g)",0,0,"442095","Sainsbury's Taste the Difference Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Rump Steak ","Sainsburys",3.7,NA,16.44,"225g","Kg",2019-01-21
"448098 Sainsbury's Taste the Difference Beef Sirloin Steak (225g)",0,0,"448098","Sainsbury's Taste the Difference Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Sirloin Steak ","Sainsburys",5.5,NA,24.44,"225g","Kg",2019-01-21
"526177 Sainsbury's 21 Day Matured Beef Fillet Steak (170g)",0,0,"526177","Sainsbury's 21 Day Matured Beef Fillet Steak (170g)","Fresh_Beef","Sainsbury's 21 Day Matured Beef Fillet Steak ","Sainsburys",4.9,NA,28.82,"170g","Kg",2019-01-21
"259020 Sainsbury's Beef Boneless Rib Roast (Approx 1Kg)",0,0,"259020","Sainsbury's Beef Boneless Rib Roast (Approx 1Kg)","Fresh_Beef","Sainsbury's Beef Boneless Rib Roast ","Sainsburys",14.56,NA,14.56,"Approx 1Kg","Kg",2019-01-21
"339624 Sainsbury's Beef Fillet Steak (2 per pack - Approx 300g)",0,0,"339624","Sainsbury's Beef Fillet Steak (2 per pack - Approx 300g)","Fresh_Beef","Sainsbury's Beef Fillet Steak ","Sainsburys",9.45,NA,31.5,"2 per pack - Approx 300g","Kg",2019-01-21
"526178 Sainsbury's 21 Day Matured Thin Cut Sirloin Steak (155g)",0,0,"526178","Sainsbury's 21 Day Matured Thin Cut Sirloin Steak (155g)","Fresh_Beef","Sainsbury's 21 Day Matured Thin Cut Sirloin Steak ","Sainsburys",3.25,NA,19.35,"155g","Kg",2019-01-21
"525482 Sainsbury's Organic 30 Day Matured Ribeye Steak (225g)",0,0,"525482","Sainsbury's Organic 30 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's Organic 30 Day Matured Ribeye Steak ","Sainsburys",5.75,NA,25.56,"225g","Kg",2019-01-21
"505402 Sainsbury's Taste the Difference Beef Roasting Joint (500g)",0,0,"505402","Sainsbury's Taste the Difference Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Roasting Joint ","Sainsburys",7,NA,14,"500g","Kg",2019-01-21
"525724 Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint (Approx 1.24Kg)",0,0,"525724","Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint ","Sainsburys",12.4,NA,10,"Approx 1.24Kg","Kg",2019-01-21
"525483 Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak (225g)",0,0,"525483","Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak ","Sainsburys",5.35,NA,23.78,"225g","Kg",2019-01-21
"525477 Sainsbury's Taste the Difference 30 Day Matured Fillet Steak (170g)",0,0,"525477","Sainsbury's Taste the Difference 30 Day Matured Fillet Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Fillet Steak ","Sainsburys",5.9,NA,34.71,"170g","Kg",2019-01-21
"525725 Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint (Approx 1.24Kg)",0,0,"525725","Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint ","Sainsburys",14.26,NA,11.5,"Approx 1.24Kg","Kg",2019-01-21
"342544 Sainsbury's Taste the Difference Beef Fillet Steak (2 per pack - Approx 340g)",0,0,"342544","Sainsbury's Taste the Difference Beef Fillet Steak (2 per pack - Approx 340g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Fillet Steak ","Sainsburys",12.24,NA,36,"2 per pack - Approx 340g","Kg",2019-01-21
"526179 Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak (155g)",0,0,"526179","Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak (155g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak ","Sainsburys",3.6,NA,23.23,"155g","Kg",2019-01-21
"505403 Sainsbury's Taste the Difference Picanha Steak (225g)",0,0,"505403","Sainsbury's Taste the Difference Picanha Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Picanha Steak ","Sainsburys",4.75,NA,21.11,"225g","Kg",2019-01-21
"525476 Sainsbury's Organic 30 Day Matured Fillet Steak (170g)",0,0,"525476","Sainsbury's Organic 30 Day Matured Fillet Steak (170g)","Fresh_Beef","Sainsbury's Organic 30 Day Matured Fillet Steak ","Sainsburys",6,NA,35.29,"170g","Kg",2019-01-21
"505400 Sainsbury's Taste the Difference Bone-In Sirloin Steak (Approx 1Kg)",0,0,"505400","Sainsbury's Taste the Difference Bone-In Sirloin Steak (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Bone-In Sirloin Steak ","Sainsburys",20,NA,20,"Approx 1Kg","Kg",2019-01-21
"505398 Sainsbury's Taste the Difference Bone-In Rib Eye Steak (Approx 1Kg)",0,0,"505398","Sainsbury's Taste the Difference Bone-In Rib Eye Steak (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Bone-In Rib Eye Steak ","Sainsburys",22,NA,22,"Approx 1Kg","Kg",2019-01-21
"447982 Sainsbury's Organic Beef Rump Steak (225g)",0,0,"447982","Sainsbury's Organic Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Organic Beef Rump Steak ","Sainsburys",5.25,NA,23.33,"225g","Kg",2019-01-21
"487869 Sainsbury's Taste the Difference Veal Escalope (250g)",0,0,"487869","Sainsbury's Taste the Difference Veal Escalope (250g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Escalope ","Sainsburys",8.5,NA,34,"250g","Kg",2019-01-21
"487282 Sainsbury's Taste the Difference Veal Rump Steak (170g)",0,0,"487282","Sainsbury's Taste the Difference Veal Rump Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Rump Steak ","Sainsburys",6.5,NA,38.24,"170g","Kg",2019-01-21
"487870 Sainsbury's Taste the Difference Veal Sirloin Steak (170g)",0,0,"487870","Sainsbury's Taste the Difference Veal Sirloin Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Sirloin Steak ","Sainsburys",7.5,NA,44.12,"170g","Kg",2019-01-21
"487281 Sainsbury's Taste the Difference Veal Roasting Joint (Approx 1Kg)",0,0,"487281","Sainsbury's Taste the Difference Veal Roasting Joint (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Veal Roasting Joint ","Sainsburys",25,NA,25,"Approx 1Kg","Kg",2019-01-21
"521168 Tesco Rump Steak (255g)",0,0,"521168","Tesco Rump Steak (255g)","Fresh_Beef","Tesco Rump Steak ","Tesco",3.8,NA,12.94,"255g","Kg",2019-01-21
"521169 Tesco Sirloin Steak (226g)",0,0,"521169","Tesco Sirloin Steak (226g)","Fresh_Beef","Tesco Sirloin Steak ","Tesco",3.8,NA,16.81,"226g","Kg",2019-01-21
"537159 Tesco Boswell Farms Carvery Beef Joint (1Kg)",0,0,"537159","Tesco Boswell Farms Carvery Beef Joint (1Kg)","Fresh_Beef","Tesco Boswell Farms Carvery Beef Joint ","Tesco",5.99,NA,5.99,"1Kg","Kg",2019-01-21
"428253 Tesco Boswell Farms Thin Cut Beef Steak (395g)",0,0,"428253","Tesco Boswell Farms Thin Cut Beef Steak (395g)","Fresh_Beef","Tesco Boswell Farms Thin Cut Beef Steak ","Tesco",3.28,NA,8.3,"395g","Kg",2019-01-21
"279339 Tesco Silverside Beef Joint (500g)",0,0,"279339","Tesco Silverside Beef Joint (500g)","Fresh_Beef","Tesco Silverside Beef Joint ","Tesco",6,NA,12,"500g","Kg",2019-01-21
"428246 Tesco Boswell Farms Beef Medallion Steak (340g)",0,0,"428246","Tesco Boswell Farms Beef Medallion Steak (340g)","Fresh_Beef","Tesco Boswell Farms Beef Medallion Steak ","Tesco",2.85,NA,8.38,"340g","Kg",2019-01-21
"239899 Tesco Beef Brisket (Approx 600g)",0,0,"239899","Tesco Beef Brisket (Approx 600g)","Fresh_Beef","Tesco Beef Brisket ","Tesco",5.4,NA,9,"Approx 600g","Kg",2019-01-21
"521160 Tesco Boswell Farms Casserole Steak (400g)",0,0,"521160","Tesco Boswell Farms Casserole Steak (400g)","Fresh_Beef","Tesco Boswell Farms Casserole Steak ","Tesco",3.29,NA,8.23,"400g","Kg",2019-01-21
"NA Tesco Boswell Farms Rump Steak (227g)",0,0,"NA","Tesco Boswell Farms Rump Steak (227g)","Fresh_Beef","Tesco Boswell Farms Rump Steak ","Tesco",2.34,NA,10.31,"227g","Kg",2019-01-21
"428252 Tesco Boswell Farms Sirloin Steak (195g)",0,0,"428252","Tesco Boswell Farms Sirloin Steak (195g)","Fresh_Beef","Tesco Boswell Farms Sirloin Steak ","Tesco",2.59,NA,13.28,"195g","Kg",2019-01-21
"428250 Tesco Boswell Farms Ribeye Steak (195g)",0,0,"428250","Tesco Boswell Farms Ribeye Steak (195g)","Fresh_Beef","Tesco Boswell Farms Ribeye Steak ","Tesco",3,NA,15.38,"195g","Kg",2019-01-21
"441820 Tesco Counter British Beef Brisket Joint (Approx 800g)",0,0,"441820","Tesco Counter British Beef Brisket Joint (Approx 800g)","Fresh_Beef","Tesco Counter British Beef Brisket Joint ","Tesco",5.7,NA,7.13,"Approx 800g","Kg",2019-01-21
"261355 Tesco Finest British Beef Rump Steak (Approx 200g)",0,0,"261355","Tesco Finest British Beef Rump Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Beef Rump Steak ","Tesco",3.8,NA,19,"Approx 200g","Kg",2019-01-21
"537411 Tesco Beef Roasting Joint with Basting Fat (Approx 1Kg)",0,0,"537411","Tesco Beef Roasting Joint with Basting Fat (Approx 1Kg)","Fresh_Beef","Tesco Beef Roasting Joint with Basting Fat ","Tesco",11,NA,11,"Approx 1Kg","Kg",2019-01-21
"521163 Tesco British Beef Sirloin Steak (2 per pack - 454g)",0,0,"521163","Tesco British Beef Sirloin Steak (2 per pack - 454g)","Fresh_Beef","Tesco British Beef Sirloin Steak ","Tesco",7.5,NA,16.52,"2 per pack - 454g","Kg",2019-01-21
"403364 Tesco Beef Top Rump Roasting Joint with Basting Fat (Approx 600g)",0,0,"403364","Tesco Beef Top Rump Roasting Joint with Basting Fat (Approx 600g)","Fresh_Beef","Tesco Beef Top Rump Roasting Joint with Basting Fat ","Tesco",6.9,NA,11.5,"Approx 600g","Kg",2019-01-21
"NA Tesco British Beef Fillet Steak (170g)",0,0,"NA","Tesco British Beef Fillet Steak (170g)","Fresh_Beef","Tesco British Beef Fillet Steak ","Tesco",5.5,NA,32.35,"170g","Kg",2019-01-21
"529255 Tesco Counter British Beef Ribeye (200g)",0,0,"529255","Tesco Counter British Beef Ribeye (200g)","Fresh_Beef","Tesco Counter British Beef Ribeye ","Tesco",2.85,NA,14.25,"200g","Kg",2019-01-21
"232394 Tesco Deli Counter Beef Fillet (120g)",NA,NA,"232394","Tesco Deli Counter Beef Fillet (120g)","Fresh_Beef","Tesco Deli Counter Beef Fillet ","Tesco",3.72,NA,31,"120g","Kg",2019-01-21
"269260 Tesco Counter Beef Sirloin Joint (200g)",0,0,"269260","Tesco Counter Beef Sirloin Joint (200g)","Fresh_Beef","Tesco Counter Beef Sirloin Joint ","Tesco",2.68,NA,13.4,"200g","Kg",2019-01-21
"484938 Tesco Finest Beef Roasting Joint (Approx 600g)",0,0,"484938","Tesco Finest Beef Roasting Joint (Approx 600g)","Fresh_Beef","Tesco Finest Beef Roasting Joint ","Tesco",8.1,NA,13.5,"Approx 600g","Kg",2019-01-21
"232412 Tesco Deli Counter Beef Rump Steak (Approx 200g)",0,0,"232412","Tesco Deli Counter Beef Rump Steak (Approx 200g)","Fresh_Beef","Tesco Deli Counter Beef Rump Steak ","Tesco",3.18,NA,15.9,"Approx 200g","Kg",2019-01-21
"NA Tesco British Beef Ribeye Steak (227g)",0,0,"NA","Tesco British Beef Ribeye Steak (227g)","Fresh_Beef","Tesco British Beef Ribeye Steak ","Tesco",4.5,NA,19.82,"227g","Kg",2019-01-21
"261352 Tesco Organic Beef Rump Steak (Approx 170g)",0,0,"261352","Tesco Organic Beef Rump Steak (Approx 170g)","Fresh_Beef","Tesco Organic Beef Rump Steak ","Tesco",3.4,NA,20,"Approx 170g","Kg",2019-01-21
"373534 Tesco Organic Roasting Joint (Approx 900g)",0,0,"373534","Tesco Organic Roasting Joint (Approx 900g)","Fresh_Beef","Tesco Organic Roasting Joint ","Tesco",11.7,NA,13,"Approx 900g","Kg",2019-01-21
"NA Tesco Boswell Farms Beef Steak (227g)",0,0,"NA","Tesco Boswell Farms Beef Steak (227g)","Fresh_Beef","Tesco Boswell Farms Beef Steak ","Tesco",2.49,NA,10.97,"227g","Kg",2019-01-21
"231025 Tesco Counter British Beef Fillet (Approx 100g)",0,0,"231025","Tesco Counter British Beef Fillet (Approx 100g)","Fresh_Beef","Tesco Counter British Beef Fillet ","Tesco",2.95,NA,29.5,"Approx 100g","Kg",2019-01-21
"NA Tesco British Beef Rump Steaks (2 per pack - 510g)",0,0,"NA","Tesco British Beef Rump Steaks (2 per pack - 510g)","Fresh_Beef","Tesco British Beef Rump Steaks ","Tesco",7.5,NA,13.24,"2 per pack - 510g","Kg",2019-01-21
"519993 Tesco Finest British Beef Rump Steak (2 per pack - 350g)",0,0,"519993","Tesco Finest British Beef Rump Steak (2 per pack - 350g)","Fresh_Beef","Tesco Finest British Beef Rump Steak ","Tesco",6.47,NA,18.49,"2 per pack - 350g","Kg",2019-01-21
"439469 Tesco Finest Beef Ribeye Steak (Approx 270g)",0,0,"439469","Tesco Finest Beef Ribeye Steak (Approx 270g)","Fresh_Beef","Tesco Finest Beef Ribeye Steak ","Tesco",6.48,NA,24,"Approx 270g","Kg",2019-01-21
"250242 Tesco Finest British Beef Fillet Steak (Approx 200g)",0,0,"250242","Tesco Finest British Beef Fillet Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Beef Fillet Steak ","Tesco",7.2,NA,36,"Approx 200g","Kg",2019-01-21
"231075 Tesco Finest British Sirloin Steak (Approx 200g)",0,0,"231075","Tesco Finest British Sirloin Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Sirloin Steak ","Tesco",4.6,NA,23,"Approx 200g","Kg",2019-01-21
"261350 Tesco Finest British Beef Sirloin Steak (2 per pack - 350g)",0,0,"261350","Tesco Finest British Beef Sirloin Steak (2 per pack - 350g)","Fresh_Beef","Tesco Finest British Beef Sirloin Steak ","Tesco",7.88,NA,22.51,"2 per pack - 350g","Kg",2019-01-21
"261332 Tesco Organic Beef Ribeye Steak (200g)",0,0,"261332","Tesco Organic Beef Ribeye Steak (200g)","Fresh_Beef","Tesco Organic Beef Ribeye Steak ","Tesco",4.9,NA,24.5,"200g","Kg",2019-01-21
"445835 Tesco Organic Beef Sirloin Steak (Approx 200g)",0,0,"445835","Tesco Organic Beef Sirloin Steak (Approx 200g)","Fresh_Beef","Tesco Organic Beef Sirloin Steak ","Tesco",5.34,NA,26.7,"Approx 200g","Kg",2019-01-21
"519899 Tesco Finest Aberdeen Angus Cote de Boeuf (500g)",0,0,"519899","Tesco Finest Aberdeen Angus Cote de Boeuf (500g)","Fresh_Beef","Tesco Finest Aberdeen Angus Cote de Boeuf ","Tesco",12,NA,24,"500g","Kg",2019-01-21
"542691 ASDA Farm Stores Seeded Grapes (400g)",0,0,"542691","ASDA Farm Stores Seeded Grapes (400g)","Grapes","ASDA Farm Stores Seeded Grapes ","ASDA",1,NA,2.5,"400g","Kg",2019-01-21
"542692 ASDA Grower's Selection Black Seedless Grapes (400g)",0,0,"542692","ASDA Grower's Selection Black Seedless Grapes (400g)","Grapes","ASDA Grower's Selection Black Seedless Grapes ","ASDA",1.2,2.5,3,"400g","Kg",2019-01-21
"542693 ASDA Grower's Selection Seedless Green Grapes (400g)",0,0,"542693","ASDA Grower's Selection Seedless Green Grapes (400g)","Grapes","ASDA Grower's Selection Seedless Green Grapes ","ASDA",1.2,2.5,3,"400g","Kg",2019-01-21
"542694 ASDA Grower's Selection Seedless Red Grapes (400g)",0,0,"542694","ASDA Grower's Selection Seedless Red Grapes (400g)","Grapes","ASDA Grower's Selection Seedless Red Grapes ","ASDA",1.2,2.5,3,"400g","Kg",2019-01-21
"024309 ASDA Grapes (80g)",0,0,"024309","ASDA Grapes (80g)","Grapes","ASDA Grapes ","ASDA",0.4,NA,5,"80g","Kg",2019-01-21
"NA Iceland White Seedless Grapes (500g)",0,0,"NA","Iceland White Seedless Grapes (500g)","Grapes","Iceland White Seedless Grapes ","Iceland",2,NA,4,"500g","Kg",2019-01-21
"NA Iceland Red Seedless Grapes (500g)",0,0,"NA","Iceland Red Seedless Grapes (500g)","Grapes","Iceland Red Seedless Grapes ","Iceland",2,NA,4,"500g","Kg",2019-01-21
"NA Iceland Luxury Grapes (400g)",0,0,"NA","Iceland Luxury Grapes (400g)","Grapes","Iceland Luxury Grapes ","Iceland",2,NA,5,"400g","Kg",2019-01-21
"454745 Oaklands White Seedless Grapes (500g)",0,0,"454745","Oaklands White Seedless Grapes (500g)","Grapes","Oaklands White Seedless Grapes ","Lidl",1.59,NA,3.18,"500g","Kg",2019-01-21
"454718 Oaklands Red Seedless Grapes (500g)",0,0,"454718","Oaklands Red Seedless Grapes (500g)","Grapes","Oaklands Red Seedless Grapes ","Lidl",1.59,NA,3.18,"500g","Kg",2019-01-21
"454338 Oaklands Black Seedless Grapes (500g)",0,0,"454338","Oaklands Black Seedless Grapes (500g)","Grapes","Oaklands Black Seedless Grapes ","Lidl",1.89,NA,3.78,"500g","Kg",2019-01-21
"454693 Oaklands Mixed Seedless Grapes (500g)",0,0,"454693","Oaklands Mixed Seedless Grapes (500g)","Grapes","Oaklands Mixed Seedless Grapes ","Lidl",1.89,NA,3.78,"500g","Kg",2019-01-21
"516043 Morrisons Wonky Grapes (500g)",0,0,"516043","Morrisons Wonky Grapes (500g)","Grapes","Morrisons Wonky Grapes ","Morrisons",1.25,NA,2.5,"500g","Kg",2019-01-21
"341840 Morrisons Black Grapes (400g)",0,0,"341840","Morrisons Black Grapes (400g)","Grapes","Morrisons Black Grapes ","Morrisons",2,NA,5,"400g","Kg",2019-01-21
"243096 Morrisons Seedless Red Grapes (400g)",0,0,"243096","Morrisons Seedless Red Grapes (400g)","Grapes","Morrisons Seedless Red Grapes ","Morrisons",2,NA,5,"400g","Kg",2019-01-21
"250893 Morrisons Seedless Green Grapes (400g)",0,0,"250893","Morrisons Seedless Green Grapes (400g)","Grapes","Morrisons Seedless Green Grapes ","Morrisons",2,NA,5,"400g","Kg",2019-01-21
"283518 Morrisons Grape Selection Pack (400g)",0,0,"283518","Morrisons Grape Selection Pack (400g)","Grapes","Morrisons Grape Selection Pack ","Morrisons",2,NA,5,"400g","Kg",2019-01-21
"460152 Morrisons The Best Sable Grapes (400g)",0,0,"460152","Morrisons The Best Sable Grapes (400g)","Grapes","Morrisons The Best Sable Grapes ","Morrisons",2,NA,5,"400g","Kg",2019-01-21
"443770 Morrisons Grapes (70g)",0,0,"443770","Morrisons Grapes (70g)","Grapes","Morrisons Grapes ","Morrisons",0.5,NA,7.14,"70g","Kg",2019-01-21
